2024-11-16 23:14:55 : ===================== 2024-11-16T23:14:55.166510 =====================
2024-11-16 23:14:55 : ===================== FINE-TUNING ON PROMPT 1 =====================
2024-11-16 23:14:55 : Settings: Namespace(data='init/asap_5_splits.csv', bert_model_path='../../../ix/ix_models/Multi-Scale-BERT-AES-Models/p8_3', chunk_sizes='90_30_130_10', prompt=[1], batch_size=16, epochs=80, sample=-1, learning_rate=6e-05, result_file='results/finetune/p1.txt', save_model='../../../ix/ix_models/Multi-Scale-BERT-AES-Models/p1/p1.pt', device='cuda', log=PosixPath('logs/finetune-p1.log'), comment='Using google-bert/bert-base-uncased. Removed the direct path to their finetuned word and chunk models.')
2024-11-16 23:14:55 : Additional Comments: Using google-bert/bert-base-uncased. Removed the direct path to their finetuned word and chunk models.
2024-11-16 23:15:00 : Train/Eval/Test: 1076/349/358
2024-11-16 23:15:00 : Started training loop for p1.pt
2024-11-16 23:18:57 : 2/80 | 17/68: 0.11175
2024-11-16 23:18:59 : 2/80 | 18/68: 0.10703
2024-11-16 23:19:01 : 2/80 | 19/68: 0.09662
2024-11-16 23:19:03 : 2/80 | 20/68: 0.08601
2024-11-16 23:19:05 : 2/80 | 21/68: 0.18996
2024-11-16 23:19:07 : 2/80 | 22/68: 0.09150
2024-11-16 23:19:09 : 2/80 | 23/68: 0.04281
2024-11-16 23:19:11 : 2/80 | 24/68: 0.21593
2024-11-16 23:19:13 : 2/80 | 25/68: 0.19014
2024-11-16 23:19:15 : 2/80 | 26/68: 0.06131
2024-11-16 23:19:17 : 2/80 | 27/68: 0.09607
2024-11-16 23:19:19 : 2/80 | 28/68: 0.13402
2024-11-16 23:19:21 : 2/80 | 29/68: 0.10830
2024-11-16 23:19:23 : 2/80 | 30/68: 0.06487
2024-11-16 23:19:25 : 2/80 | 31/68: 0.06117
2024-11-16 23:19:28 : 2/80 | 32/68: 0.09951
2024-11-16 23:19:30 : 2/80 | 33/68: 0.07439
2024-11-16 23:19:32 : 2/80 | 34/68: 0.06977
2024-11-16 23:19:34 : 2/80 | 35/68: 0.13387
2024-11-16 23:19:36 : 2/80 | 36/68: 0.07835
2024-11-16 23:19:38 : 2/80 | 37/68: 0.04523
2024-11-16 23:19:40 : 2/80 | 38/68: 0.10371
2024-11-16 23:19:42 : 2/80 | 39/68: 0.11930
2024-11-16 23:19:44 : 2/80 | 40/68: 0.06565
2024-11-16 23:19:46 : 2/80 | 41/68: 0.17649
2024-11-16 23:19:48 : 2/80 | 42/68: 0.08632
2024-11-16 23:19:50 : 2/80 | 43/68: 0.06812
2024-11-16 23:19:53 : 2/80 | 44/68: 0.06757
2024-11-16 23:19:55 : 2/80 | 45/68: 0.05434
2024-11-16 23:19:57 : 2/80 | 46/68: 0.07600
2024-11-16 23:19:59 : 2/80 | 47/68: 0.05283
2024-11-16 23:20:01 : 2/80 | 48/68: 0.07882
2024-11-16 23:20:03 : 2/80 | 49/68: 0.03300
2024-11-16 23:20:05 : 2/80 | 50/68: 0.09997
2024-11-16 23:20:07 : 2/80 | 51/68: 0.02844
2024-11-16 23:20:10 : 2/80 | 52/68: 0.06246
2024-11-16 23:20:12 : 2/80 | 53/68: 0.12952
2024-11-16 23:20:14 : 2/80 | 54/68: 0.08960
2024-11-16 23:20:16 : 2/80 | 55/68: 0.14629
2024-11-16 23:20:18 : 2/80 | 56/68: 0.06526
2024-11-16 23:20:20 : 2/80 | 57/68: 0.10313
2024-11-16 23:20:22 : 2/80 | 58/68: 0.11829
2024-11-16 23:20:25 : 2/80 | 59/68: 0.08107
2024-11-16 23:20:27 : 2/80 | 60/68: 0.07652
2024-11-16 23:20:29 : 2/80 | 61/68: 0.09281
2024-11-16 23:20:31 : 2/80 | 62/68: 0.13207
2024-11-16 23:20:33 : 2/80 | 63/68: 0.06436
2024-11-16 23:20:35 : 2/80 | 64/68: 0.09995
